,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,No Ar - No Sim,,,,,,,,,,,,
,,,,,,,,,,1,AR - No Sim,,,,,,,,,,,,
,,,,,,,,,,2,No AR - Sim,,,,,,,,,,,,
,,,,,,,,,,3,AR - Sim,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,T1,,T2,,T3,,T4,,,,,,,,,,,,,,,,
ID,Mode,Config,Mode,Config,Mode,Config,Mode,Config,,,,,,,,,,,,,,,
1,1,1,3,3,0,2,2,4,,,,,,,,,,,,,,,
3,0,3,3,4,1,1,2,2,,,,,,,,,,,,,,,
4,0,4,2,1,3,2,1,3,,,,,,,,,,,,,,,
5,0,1,1,2,2,4,3,3,,,,,,,,,,,,,,,
6,3,2,1,3,0,1,2,4,,,,,,,,,,,,,,,
7,3,3,2,4,1,2,0,1,,,,,,,,,,,,,,,
8,2,4,1,1,3,3,0,2,,,,,,,,,,,,,,,
9,0,3,2,2,3,4,1,1,,,,,,,,,,,,,,,
10,3,2,0,4,2,3,1,1,,,,,,,,,,,,,,,
11,2,3,3,1,1,4,0,2,,,,,,,,,,,,,,,
12,3,4,2,2,0,1,1,3,,,,,,,,,,,,,,,
13,1,2,2,1,0,3,3,4,,,,,,,,,,,,,,,
14,1,3,0,2,3,4,2,1,,,,,,,,,,,,,,,
15,1,4,3,3,2,1,0,2,,,,,,,,,,,,,,,
16,2,1,0,4,1,2,3,3,,,,,,,,,,,,,,,
17,2,2,1,3,0,4,3,1,,,,,,,,,,,,,,,
18,3,3,1,4,2,1,0,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,AR - No Sim,AR - Sim,No Ar - No Sim,No AR - Sim,,1,3,0,2
,,,,,,,,,,,,,,,No Ar - No Sim,AR - Sim,AR - No Sim,No AR - Sim,,0,3,1,2
,,,,,,,,,,,,,,,No Ar - No Sim,No AR - Sim,AR - Sim,AR - No Sim,,0,2,3,1
,,,,,,,,,,,,,,,No Ar - No Sim,AR - No Sim,No AR - Sim,AR - Sim,,0,1,2,3
,,,,,,,,,,,,,,,AR - Sim,AR - No Sim,No Ar - No Sim,No AR - Sim,,3,1,0,2
,,,,,,,,,,,,,,,AR - Sim,No AR - Sim,AR - No Sim,No Ar - No Sim,,3,2,1,0
,,,,,,,,,,,,,,,No AR - Sim,AR - No Sim,AR - Sim,No Ar - No Sim,,2,1,3,0
,,,,,,,,,,,,,,,No Ar - No Sim,No AR - Sim,AR - Sim,AR - No Sim,,0,2,3,1
,,,,,,,,,,,,,,,AR - Sim,No Ar - No Sim,No AR - Sim,AR - No Sim,,3,0,2,1
,,,,,,,,,,,,,,,No AR - Sim,AR - Sim,AR - No Sim,No Ar - No Sim,,2,3,1,0
,,,,,,,,,,,,,,,AR - Sim,No AR - Sim,No Ar - No Sim,AR - No Sim,,3,2,0,1
,,,,,,,,,,,,,,,AR - No Sim,No AR - Sim,No Ar - No Sim,AR - Sim,,1,2,0,3
,,,,,,,,,,,,,,,AR - No Sim,No Ar - No Sim,AR - Sim,No AR - Sim,,1,0,3,2
,,,,,,,,,,,,,,,AR - No Sim,AR - Sim,No AR - Sim,No Ar - No Sim,,1,3,2,0
,,,,,,,,,,,,,,,No AR - Sim,No Ar - No Sim,AR - No Sim,AR - Sim,,2,0,1,3
,,,,,,,,,,,,,,,No AR - Sim,AR - No Sim,No Ar - No Sim,AR - Sim,,2,1,0,3
,,,,,,,,,,,,,,,AR - Sim,AR - No Sim,No AR - Sim,No Ar - No Sim,,3,1,2,0
