,,,,AVG
1,4,0,20.92172641,
2,2,0,28.00123064,
3,1,0,27.99412197,
4,3,0,15.52846886,
5,2,0,5.085983128,
6,2,0,0.122646891,
7,4,0,16.73592747,
8,2,0,21.68683052,
9,2,0,19.62581788,
10,3,0,38.77279329,
11,4,0,9.648816483,
12,1,0,14.14486159,
13,1,0,28.57506059,
14,1,0,6.864808663,
15,2,0,22.6262838,
16,3,0,5.204971789,17.59627187
1,1,1,7.404965942,
2,4,1,0.29154519,
3,3,1,0.339272425,
4,2,1,6.896002971,
5,3,1,16.85506108,
6,3,1,16.20781037,
7,3,1,7.438503761,
8,4,1,17.76233054,
9,1,1,28.45500849,
10,1,1,26.93668077,
11,3,1,14.93663856,
12,2,1,35.87907409,
13,3,1,14.33629652,
14,2,1,38.78309093,
15,1,1,23.06164764,
16,1,1,26.03384119,17.60111065
1,3,2,5.317334886,
2,3,2,12.47068323,
3,2,2,10.91696158,
4,1,2,31.17977528,
5,1,2,28.13533886,
6,1,2,39.00444367,
7,2,2,20.86977481,
8,1,2,33.59596596,
9,4,2,18.44273715,
10,2,2,7.158556688,
11,1,2,21.90800934,
12,4,2,25.66360469,
13,4,2,52.74519367,
14,4,2,1.186872981,
15,4,2,14.11995613,
16,2,2,7.570172205,20.64283632
1,2,3,25.78646934,
2,1,3,26.60710243,
3,4,3,8.198330879,
4,4,3,1.934675851,
5,4,3,48.95619524,
6,3,3,40.46834549,
7,1,3,23.49448993,
8,3,3,0.48996888,
9,3,3,11.46135148,
10,4,3,6.49717958,
11,2,3,18.91662997,
12,3,3,10.97813635,
13,2,3,17.42490132,
14,3,3,6.574330563,
15,3,3,2.048546518,
16,4,3,4.911955514,15.92178808
